,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,continent_name,median_salary,average_salary,lowest_salary,highest_salary
0,Switzerland,101.1,46.5,74.9,109.1,97.0,158.7,Europe,9836.07,11292.9,2850.27,50363.93
1,Bahamas,85.0,36.7,61.8,81.6,83.3,54.6,North America,3541.0,3908.0,983.0,17416.0
2,Iceland,83.0,39.2,62.0,88.4,86.8,120.3,Europe,4661.2,5049.03,1273.23,22464.51
3,Singapore,76.7,67.2,72.1,74.6,50.4,111.1,Asia,5647.06,6235.29,1573.53,27720.59
4,Barbados,76.6,19.0,48.9,80.8,69.4,43.5,Caribbean,1395.0,1635.0,410.0,7250.0
5,Norway,76.0,26.2,52.1,79.0,73.5,114.7,Europe,4420.02,4786.34,1208.23,21281.57
6,Denmark,72.3,26.4,50.2,64.8,81.3,127.2,Europe,5084.99,5779.04,1458.92,25637.39
7,United States,70.4,41.7,56.6,75.0,67.2,142.3,Northern America,6966.0,7925.0,2000.0,35250.0
8,Australia,70.2,33.4,52.5,77.3,62.5,127.4,Oceania,4306.45,4903.23,1236.13,21774.19
9,Austria,65.1,22.5,44.7,66.4,59.3,102.4,Europe,3572.94,4016.91,1014.8,17864.69
10,Canada,64.8,33.2,49.6,71.2,61.7,103.7,Northern America,6311.03,7352.94,1850.0,32720.59
11,New Zealand,64.6,25.9,46.0,71.9,57.1,121.0,Oceania,4196.41,4870.06,1227.54,21656.29
12,Ireland,64.4,42.3,53.8,59.3,65.3,101.1,Europe,3021.14,3399.58,856.24,15151.16
13,France,63.7,21.0,43.2,69.5,56.3,102.4,Europe,3769.56,4377.38,1100.42,19467.23
14,Puerto Rico,63.3,19.5,42.3,64.1,53.1,103.5,Caribbean,1483.0,1683.0,425.0,7491.0
15,Finland,63.2,19.7,42.4,63.0,63.6,118.0,Europe,4238.9,4978.86,1257.93,22093.02
16,Netherlands,63.1,33.5,48.9,59.9,61.2,124.9,Europe,4756.87,5179.7,1427.06,22515.86
17,Luxembourg,62.4,40.5,51.9,64.1,68.7,182.5,Europe,4767.44,5211.42,1310.78,23150.11
18,Germany,62.2,24.4,44.0,60.8,52.8,120.2,Europe,3731.5,4048.63,1014.8,17970.4
19,United Kingdom,62.0,31.1,47.1,56.9,62.7,115.2,Europe,6300.0,7235.37,1829.27,32214.63
20,Belgium,61.1,20.1,41.4,57.5,66.0,109.8,Europe,5729.39,6522.2,1997.89,27378.44
21,Sweden,59.3,20.9,40.9,60.8,54.7,122.6,Europe,3568.16,4144.56,1043.0,18389.75
22,Italy,56.2,19.2,38.5,57.0,53.3,78.3,Europe,3467.23,3868.92,972.52,17230.44
23,United Arab Emirates,55.8,41.3,48.9,45.3,49.2,127.9,Asia,3324.25,3896.46,708.45,18637.6
24,Cyprus,54.7,24.8,40.4,49.6,53.2,71.4,Europe,1976.74,2293.87,581.4,10211.42
25,Uruguay,54.1,13.8,34.8,52.1,50.2,56.3,South America,773.64,862.2,217.24,3829.12
26,Jamaica,53.9,14.1,34.8,62.0,38.8,32.7,Caribbean,565.78,624.56,157.59,2777.24
27,Malta,52.8,24.2,39.1,50.6,56.2,68.1,Europe,4439.75,4904.86,1236.79,21775.9
28,Costa Rica,52.3,16.7,35.2,56.1,43.1,46.2,Central America,4016.06,4427.01,1115.16,19613.34
29,Bahrain,52.3,20.5,37.0,46.9,44.7,105.0,Asia,3617.02,3936.17,984.04,17553.19
30,Greece,52.0,12.9,33.2,48.4,51.3,53.0,Europe,2241.01,2579.28,655.39,11522.2
31,Estonia,52.0,15.0,34.2,46.4,50.6,80.4,Europe,2579.28,2906.98,729.39,12896.41
32,Qatar,51.3,36.1,44.0,43.9,47.2,161.1,Asia,3846.15,4313.19,1090.66,19230.77
33,Slovenia,49.9,18.7,34.9,49.0,43.4,80.9,Europe,1934.46,2093.02,528.54,9302.33
34,Latvia,49.1,11.2,30.9,42.8,44.9,66.9,Europe,1654.0727,1952.1038,491.75135,8657.804
35,Spain,47.3,22.9,35.6,46.0,44.1,92.1,Europe,2579.28,2875.26,877.38,12050.74
36,Lithuania,47.1,15.6,31.9,44.2,43.5,75.5,Europe,903.87466,997.90189,251.75032,4428.3792
37,Slovakia,46.7,14.8,31.4,46.7,34.5,68.3,Europe,2114.16,2315.01,581.4,10295.98
38,Cuba,46.7,11.8,29.9,43.0,26.0,2.3,Caribbean,783.33,916.67,231.25,4079.17
39,Czech Republic,46.6,18.8,33.3,44.4,34.1,84.0,Europe,2310.03,2653.06,668.69,11810.68
